model,act_in,act_out,reward_dist,random_disc,player,tie,win,loss
BasicNN,relu,linear,expo,0.1,1,176,507,317
BasicNN,relu,linear,expo,0.2,1,182,482,336
BasicNN,relu,linear,expo,0.3,1,206,452,342
BasicNN,relu,linear,expo,0.5,1,196,476,328
BasicNN,relu,linear,linear,0.1,1,194,449,357
BasicNN,relu,linear,linear,0.2,1,151,602,247
BasicNN,relu,linear,linear,0.3,1,210,483,307
BasicNN,relu,linear,linear,0.5,1,222,471,307
BasicNN,relu,linear,root,0.1,1,295,400,305
BasicNN,relu,linear,root,0.2,1,584,203,213
BasicNN,relu,linear,root,0.3,1,465,249,286
BasicNN,relu,linear,root,0.5,1,342,467,191
BasicNN,relu,tanh,expo,0.1,1,147,470,383
BasicNN,relu,tanh,expo,0.2,1,183,502,315
BasicNN,relu,tanh,expo,0.3,1,204,448,348
BasicNN,relu,tanh,expo,0.5,1,199,472,329
BasicNN,relu,tanh,linear,0.1,1,208,415,377
BasicNN,relu,tanh,linear,0.2,1,181,502,317
BasicNN,relu,tanh,linear,0.3,1,168,524,308
BasicNN,relu,tanh,linear,0.5,1,174,457,369
BasicNN,relu,tanh,root,0.1,1,128,523,349
BasicNN,relu,tanh,root,0.2,1,91,528,381
BasicNN,relu,tanh,root,0.3,1,178,509,313
BasicNN,relu,tanh,root,0.5,1,203,453,344
BasicNN,sigmoid,linear,expo,0.1,1,141,457,402
BasicNN,sigmoid,linear,expo,0.2,1,146,625,229
BasicNN,sigmoid,linear,expo,0.3,1,123,499,378
BasicNN,sigmoid,linear,expo,0.5,1,147,522,331
BasicNN,sigmoid,linear,linear,0.1,1,97,509,394
BasicNN,sigmoid,linear,linear,0.2,1,140,536,324
BasicNN,sigmoid,linear,linear,0.3,1,177,532,291
BasicNN,sigmoid,linear,linear,0.5,1,128,604,268
BasicNN,sigmoid,linear,root,0.1,1,353,309,338
BasicNN,sigmoid,linear,root,0.2,1,332,328,340
BasicNN,sigmoid,linear,root,0.3,1,247,387,366
BasicNN,sigmoid,linear,root,0.5,1,232,394,374
BasicNN,sigmoid,tanh,expo,0.1,1,126,548,326
BasicNN,sigmoid,tanh,expo,0.2,1,173,516,311
BasicNN,sigmoid,tanh,expo,0.3,1,149,591,260
BasicNN,sigmoid,tanh,expo,0.5,1,141,538,321
BasicNN,sigmoid,tanh,linear,0.1,1,164,553,283
BasicNN,sigmoid,tanh,linear,0.2,1,126,500,374
BasicNN,sigmoid,tanh,linear,0.3,1,145,613,242
BasicNN,sigmoid,tanh,linear,0.5,1,144,622,234
BasicNN,sigmoid,tanh,root,0.1,1,107,632,261
BasicNN,sigmoid,tanh,root,0.2,1,172,534,294
BasicNN,sigmoid,tanh,root,0.3,1,208,520,272
BasicNN,sigmoid,tanh,root,0.5,1,121,497,382
